contigName	contigLen	totalAvgDepth	minigut2.sorted	minigut2.sorted-var	minigut1.sorted	minigut1.sorted-var
k141_114	751	2.78802	2.78802	1.18576	0	0
k141_900	4941	5.993	0	0	5.993	5.40797
k141_117	577	2.52411	2.52411	1.23314	0	0
k141_905	524	2.12028	2.12028	0.507955	0	0
k141_906	827	2.47593	2.47593	1.26078	0	0
k141_911	672	2.13462	2.13462	1.91705	0	0
k141_912	5983	6.42823	0	0	6.42823	5.61296
k141_120	9190	5.99453	0.0664466	0.0921715	5.92809	4.53811
k141_122	563	2.01944	2.01944	0.404385	0	0
k141_915	511	1.84428	1.84428	0.868378	0	0
k141_916	671	2.26795	2.26795	0.996495	0	0
k141_919	4125	5.38931	0	0	5.38931	5.88854
k141_920	1922	6.52174	0	0	6.52174	11.5668
k141_921	3322	8.6608	0	0	8.6608	8.59539
k141_127	17071	8.13044	0	0	8.13044	7.32841
k141_128	1065	7.43642	0	0	7.43642	9.05272
k141_130	634	1.79213	1.79213	0.416375	0	0
k141_133	697	6.85203	0	0	6.85203	4.79731
k141_136	876	1.77577	1.77577	0.246431	0	0
k141_137	4652	5.72516	0	0	5.72516	4.42431
k141_138	7400	7.80883	0	0	7.80883	8.4902
k141_926	23272	8.04118	0	0	8.04118	7.77725
k141_927	561	2.66161	2.66161	1.61132	0	0
k141_929	1019	2.57454	2.57454	0.9092	0	0
k141_930	9411	6.42415	0.0486521	0.0462974	6.3755	6.6184
k141_933	672	1.97727	1.97727	0.439064	0	0
k141_143	12186	6.26256	0	0	6.26256	5.23053
k141_145	553	2.11258	2.11258	0.524908	0	0
k141_935	2992	5.89347	0	0	5.89347	4.86521
k141_937	746	2.63003	2.63003	1.53577	0	0
k141_938	551	1.78714	1.78714	0.439033	0	0
k141_147	3836	6.59776	0	0	6.59776	6.82462
k141_943	517	2.65707	2.65707	1.65857	0	0
k141_148	718	3.68608	3.68608	0.886711	0	0
k141_149	597	2.39638	2.39638	0.57039	0	0
k141_946	3250	7.23318	0.095873	0.0867045	7.13731	8.79677
k141_947	570	2.32766	2.32766	1.00542	0	0
k141_948	760	6.09735	0	0	6.09735	4.13526
k141_151	4206	6.31183	0	0	6.31183	4.65603
k141_951	577	2.53669	2.53669	1.24917	0	0
k141_152	4849	6.91843	0.0635923	0.0595704	6.85484	5.11357
k141_153	640	3.29444	3.29444	3.54024	0	0
k141_154	600	1.914	1.914	0.287179	0	0
k141_156	1128	6.06883	0	0	6.06883	6.96948
k141_954	7606	5.90271	0	0	5.90271	5.8339
k141_157	1184	3.23063	3.23063	2.1222	0	0
k141_158	587	2.85832	2.85832	0.6733	0	0
k141_159	516	1.57452	1.57452	0.245034	0	0
k141_160	2554	7.03803	0	0	7.03803	4.74471
k141_161	516	2.65625	2.65625	2.65023	0	0
k141_162	514	2.23672	2.23672	0.534628	0	0
k141_163	879	5.07152	0	0	5.07152	3.1494
k141_164	652	3.0163	3.0163	0.894469	0	0
k141_165	610	2.73922	2.73922	1.0301	0	0
k141_166	705	4.13719	4.13719	1.92651	0	0
k141_167	2314	7.07392	0	0	7.07392	6.96409
k141_173	1933	5.56564	0	0	5.56564	3.74421
k141_174	688	1.98639	1.98639	1.92486	0	0
k141_175	2699	6.11847	0.0580993	0.0547417	6.06037	5.59192
k141_955	17057	6.55633	0.0356195	0.034361	6.52071	5.32866
k141_959	590	1.6449	1.6449	0.229473	0	0
k141_185	1071	2.22966	2.22966	0.75648	0	0
k141_961	938	2.69212	2.69212	2.15598	0	0
k141_191	5187	6.11548	0.0296835	0.0288086	6.0858	7.35246
k141_193	825	3.09103	3.09103	1.57458	0	0
k141_194	657	3.85637	3.85637	2.52611	0	0
k141_966	7317	8.83345	0	0	8.83345	8.75709
k141_199	661	3.2852	3.2852	1.43281	0	0
k141_969	3404	6.69586	0.0914044	0.0830787	6.60445	7.58572
k141_970	900	5.20905	0	0	5.20905	7.06394
k141_201	4444	5.66369	0	0	5.66369	4.50722
k141_202	1032	3.21996	3.21996	2.0171	0	0
k141_204	827	2.27373	2.27373	0.54067	0	0
k141_972	2640	5.66966	0	0	5.66966	3.68788
k141_207	543	2.42889	2.42889	1.1188	0	0
k141_976	506	2.62562	2.62562	0.308874	0	0
k141_208	780	2.48676	2.48676	2.35623	0	0
k141_211	524	2.21226	2.21226	0.352002	0	0
k141_222	646	3.32418	3.32418	1.02316	0	0
k141_223	528	3.50701	3.50701	1.5667	0	0
k141_230	566	1.93133	1.93133	0.907105	0	0
k141_981	5744	6.03797	0	0	6.03797	5.52711
k141_232	563	2.71922	2.71922	1.47944	0	0
k141_982	713	2.01958	2.01958	0.535566	0	0
k141_233	696	2.55872	2.55872	1.46378	0	0
k141_984	721	2.87118	2.87118	1.70273	0	0
k141_236	707	2.97035	2.97035	1.70538	0	0
k141_986	666	2.9417	2.9417	1.02491	0	0
k141_990	601	1.60878	1.60878	0.238643	0	0
k141_992	566	2.66953	2.66953	0.531413	0	0
k141_997	703	2.50415	2.50415	0.981294	0	0
k141_241	3855	5.67942	0.0804261	0.0739779	5.59899	4.72436
k141_1001	533	2.10162	2.10162	0.369281	0	0
k141_245	735	2.88189	2.88189	1.00654	0	0
k141_248	1196	3.97536	3.97536	2.64139	0	0
k141_249	635	2.77944	2.77944	0.318303	0	0
k141_255	604	2.41865	2.41865	0.836311	0	0
k141_256	1027	2.00755	2.00755	0.951339	0	0
k141_258	504	1.62129	1.62129	0.235873	0	0
k141_259	638	2.24164	2.24164	0.850257	0	0
k141_260	758	3.86982	0	0	3.86982	2.76525
k141_261	655	3.3009	3.3009	0.878612	0	0
k141_264	781	2.32159	2.32159	0.894957	0	0
k141_265	522	2.5782	2.5782	0.966555	0	0
k141_266	531	2.15313	2.15313	0.655565	0	0
k141_269	1018	2.77451	2.77451	0.630664	0	0
k141_272	9161	7.16235	0	0	7.16235	6.599
k141_275	566	2.56438	2.56438	1.16251	0	0
k141_1002	26086	8.82318	0	0	8.82318	9.94977
k141_276	6589	6.38912	0	0	6.38912	4.33987
k141_278	724	2.96154	2.96154	3.31473	0	0
k141_279	774	3.07418	3.07418	1.78647	0	0
k141_1006	3991	5.6925	0	0	5.6925	3.78877
k141_1008	823	2.13416	2.13416	1.00552	0	0
k141_281	1926	4.78416	0	0	4.78416	4.26364
k141_282	598	2.46586	2.46586	0.265431	0	0
k141_1012	663	1.49911	1.49911	0.908808	0	0
k141_285	2639	5.38293	0.118944	0.104838	5.26398	6.46276
k141_286	552	2.39602	2.39602	0.31954	0	0
k141_1015	3219	4.99171	0	0	4.99171	3.77857
k141_289	637	1.50093	1.50093	0.418375	0	0
k141_1017	528	1.79673	1.79673	0.593246	0	0
k141_1018	5956	5.88696	0	0	5.88696	5.2303
k141_1019	18822	8.32012	0	0	8.32012	8.30625
k141_1022	17289	8.84797	0	0	8.84797	7.98774
k141_1023	514	2.31159	2.31159	1.13512	0	0
k141_1024	592	2.57317	2.57317	0.69321	0	0
k141_290	45152	8.25298	0	0	8.25298	8.24887
k141_1026	706	2.77558	2.77558	0.544592	0	0
k141_291	1659	5.95258	0.0673509	0.0628582	5.88523	8.09783
k141_292	656	2.69964	2.69964	0.898812	0	0
k141_1027	2956	5.70839	0.105742	0.0945938	5.60264	4.19359
k141_293	5228	6.35815	0.0588924	0.055438	6.29926	5.16326
k141_298	601	1.86228	1.86228	0.542994	0	0
k141_301	543	2.34086	2.34086	0.234231	0	0
k141_304	778	1.62389	1.62389	0.317712	0	0
k141_305	1016	3.1452	3.1452	2.04338	0	0
k141_307	647	1.68373	1.68373	0.35217	0	0
k141_311	1311	2.16185	2.16185	1.54238	0	0
k141_314	538	1.77854	1.77854	0.548097	0	0
k141_1033	11283	8.29926	0	0	8.29926	7.19345
k141_315	4298	7.75664	0	0	7.75664	9.19442
k141_316	575	2.40211	2.40211	3.71771	0	0
k141_320	710	1.89836	1.89836	0.859932	0	0
k141_1035	8213	6.75161	0.0744484	0.0689196	6.67716	6.90822
k141_322	2856	5.59301	0	0	5.59301	5.11704
k141_1036	1221	1.93131	1.93131	0.730099	0	0
k141_330	543	2.8149	2.8149	0.667016	0	0
k141_1042	634	2.8427	2.8427	2.98833	0	0
k141_332	850	5.32894	0.201333	0.161013	5.1276	4.35397
k141_1043	886	2.74046	2.74046	0.592425	0	0
k141_1044	701	2.15308	2.15308	0.533194	0	0
k141_1048	4211	5.57835	0	0	5.57835	5.71873
k141_334	6426	8.29918	0	0	8.29918	6.6003
k141_1052	770	5.56866	5.56866	3.91978	0	0
k141_1061	573	1.16068	1.16068	0.588537	0	0
k141_1062	652	2.00725	2.00725	1.27399	0	0
k141_1064	618	2.36873	2.36873	0.302849	0	0
k141_1070	1001	2.40289	2.40289	2.25862	0	0
k141_335	11661	6.79471	0.0522446	0.0495172	6.74247	5.94146
k141_339	2590	6.91946	0	0	6.91946	7.25792
k141_341	540	2.75227	2.75227	1.09339	0	0
k141_1071	12709	7.57021	0	0	7.57021	6.06344
k141_1081	550	3.13333	3.13333	1.42093	0	0
k141_1082	702	2.82226	2.82226	1.01161	0	0
k141_345	8291	5.99444	0.0737395	0.0836923	5.9207	5.36002
k141_1090	838	2.43225	2.43225	0.769481	0	0
k141_1091	638	3.39033	3.39033	2.52892	0	0
k141_1094	590	1.95306	1.95306	0.392476	0	0
k141_1100	589	2.18814	2.18814	0.956337	0	0
k141_349	3182	6.42258	0	0	6.42258	4.59196
k141_350	916	2.35784	2.35784	0.546638	0	0
k141_1102	849	6.68579	0	0	6.68579	3.94421
k141_351	522	2.38626	2.38626	1.81007	0	0
k141_354	719	1.78998	1.78998	0.457441	0	0
k141_1106	692	1.19088	1.19088	0.354369	0	0
k141_1107	516	2.30048	2.30048	0.490217	0	0
k141_1108	529	2.82517	2.82517	0.597869	0	0
k141_1110	591	2.15886	2.15886	0.39104	0	0
k141_360	795	2.84173	2.84173	1.13629	0	0
k141_362	660	2.69286	2.69286	0.807102	0	0
k141_363	535	2.10115	2.10115	0.422926	0	0
k141_366	2148	5.9879	0	0	5.9879	6.57853
k141_1113	3711	6.18269	0	0	6.18269	3.45968
k141_1114	512	3.35437	3.35437	0.930079	0	0
k141_369	762	3.85196	3.85196	2.47428	0	0
k141_370	592	2.7622	2.7622	1.12663	0	0
k141_371	635	3.68037	3.68037	0.667311	0	0
k141_374	1783	5.46855	0	0	5.46855	3.14563
k141_375	844	3.97507	0	0	3.97507	2.94945
k141_376	533	2.54273	2.54273	0.341342	0	0
k141_1118	4754	5.07474	0.0648904	0.0606932	5.00985	3.82818
k141_378	527	2.45667	2.45667	0.816781	0	0
k141_1119	603	1.65408	1.65408	0.382089	0	0
k141_1120	697	2.56114	2.56114	0.545334	0	0
k141_379	1184	5.12523	0	0	5.12523	2.75993
k141_1122	503	1.97767	1.97767	0.574127	0	0
k141_1125	642	3.0572	3.0572	1.27768	0	0
k141_380	3363	6.04968	0	0	6.04968	6.72289
k141_381	9998	5.67104	0	0	5.67104	6.10445
k141_382	1225	5.11461	0	0	5.11461	5.084
k141_383	839	1.68877	1.68877	0.247176	0	0
k141_384	616	1.82752	1.82752	0.581845	0	0
k141_387	2823	5.16636	0.110907	0.0986419	5.05545	4.25528
k141_389	682	2.90034	2.90034	1.22585	0	0
k141_390	27155	7.67599	0	0	7.67599	8.04145
k141_391	11176	5.54881	0.0272662	0.0265197	5.52154	5.42585
k141_392	1463	7.31842	7.31842	25.6167	0	0
k141_394	529	2.86014	2.86014	0.62058	0	0
k141_395	1414	5.37237	0	0	5.37237	3.53967
k141_398	5375	5.77537	0.0572512	0.053981	5.71812	4.6699
k141_399	1309	4.73431	0	0	4.73431	3.87552
k141_401	708	2.47697	2.47697	1.11314	0	0
k141_404	575	3.52	3.52	0.971644	0	0
k141_406	714	2.65472	2.65472	0.58858	0	0
k141_408	643	1.76059	1.76059	0.230401	0	0
k141_409	5086	6.93689	0.121139	0.106487	6.81575	5.91482
k141_411	757	2.14612	2.14612	1.36277	0	0
k141_418	532	2.21528	2.21528	0.554474	0	0
k141_421	512	2.32282	2.32282	0.462446	0	0
k141_423	4525	5.99977	0	0	5.99977	5.73999
k141_424	592	2.68902	2.68902	0.829779	0	0
k141_426	630	3.09245	3.09245	2.29579	0	0
k141_1126	87414	8.22396	0	0	8.22396	7.92653
k141_431	1805	5.93384	0	0	5.93384	3.98402
k141_433	748	1.65123	1.65123	0.406768	0	0
k141_1131	843	6.14849	0	0	6.14849	5.29238
k141_1134	837	1.91723	1.91723	0.880364	0	0
k141_1138	621	2.41651	2.41651	1.76656	0	0
k141_436	4804	6.54087	0	0	6.54087	7.27404
k141_1145	629	1.77694	1.77694	0.923633	0	0
k141_1147	693	2.24452	2.24452	0.637743	0	0
k141_440	3346	9.24755	0	0	9.24755	11.9006
k141_1148	5449	5.82392	0	0	5.82392	5.1134
k141_1150	2982	5.39686	0.104788	0.0938442	5.29207	5.42453
k141_1151	509	2.67726	2.67726	0.724013	0	0
k141_1152	8180	5.91344	0.0560644	0.0529281	5.85737	6.4391
k141_1153	588	1.86885	1.86885	0.557713	0	0
k141_441	34858	8.78868	0	0	8.78868	8.59934
k141_442	14647	9.01215	0	0	9.01215	8.08029
k141_443	640	2.80926	2.80926	1.3643	0	0
k141_445	574	2.28903	2.28903	0.531508	0	0
k141_452	743	1.72317	1.72317	0.275271	0	0
k141_453	652	2.39493	2.39493	1.48077	0	0
k141_454	625	2.89333	2.89333	1.62981	0	0
k141_1156	38791	8.29556	0	0	8.29556	7.29748
k141_457	550	1.77333	1.77333	0.398395	0	0
k141_1157	1006	1.75717	1.75717	1.11224	0	0
k141_458	528	2.51402	2.51402	0.255071	0	0
k141_461	594	2.30567	2.30567	0.776564	0	0
k141_462	828	5.03022	5.03022	11.083	0	0
k141_463	1872	14.0665	0.670993	0.42528	13.3955	58.6898
k141_464	640	2.52037	2.52037	0.257468	0	0
k141_465	853	2.06507	2.06507	0.276348	0	0
k141_466	3370	6.13412	0	0	6.13412	5.94637
k141_467	509	1.84841	1.84841	0.398533	0	0
k141_468	724	3.32853	3.32853	1.90634	0	0
k141_1158	16084	8.53818	0	0	8.53818	8.54809
k141_470	7415	6.41606	0	0	6.41606	5.98527
k141_1160	651	1.73684	1.73684	0.354261	0	0
k141_471	638	1.75651	1.75651	0.355872	0	0
k141_1161	1107	6.50244	0	0	6.50244	7.93187
k141_1163	4086	7.94755	0	0	7.94755	7.68695
k141_1167	503	1.96526	1.96526	0.580881	0	0
k141_472	9733	5.94064	0.0627011	0.0587711	5.87794	4.67409
k141_473	655	1.9964	1.9964	0.371828	0	0
k141_474	666	2.40106	2.40106	0.491966	0	0
k141_476	3587	5.44308	0	0	5.44308	4.41463
k141_478	505	2.24938	2.24938	0.375774	0	0
k141_1170	8761	6.29147	0.034869	0.0336604	6.2566	4.92032
k141_1171	568	2.69444	2.69444	0.962106	0	0
k141_479	1508	5.29383	0	0	5.29383	2.78312
k141_1172	872	1.5	1.5	0.335927	0	0
k141_482	716	2.9724	2.9724	1.035	0	0
k141_483	508	2.31863	2.31863	0.625498	0	0
k141_484	530	1.87442	1.87442	0.263913	0	0
k141_1178	872	2.86529	2.86528	0.993499	0	0
k141_1182	884	6.41272	0	0	6.41272	5.49615
k141_490	568	1.92094	1.92094	0.604014	0	0
k141_1183	666	2.36749	2.36749	0.912495	0	0
k141_1184	506	2.72906	2.72906	2.0795	0	0
k141_494	619	2.12909	2.12909	0.487163	0	0
k141_1187	1035	2.26845	2.26845	0.894672	0	0
k141_496	1345	5.32289	5.32289	5.92946	0	0
k141_1194	866	2.20888	2.20888	0.76939	0	0
k141_1196	565	3.29677	3.29677	0.816905	0	0
k141_1197	1105	2.76915	2.76915	1.87095	0	0
k141_1198	670	3.18596	3.18596	1.11123	0	0
k141_1203	1885	6.08098	0	0	6.08098	5.04004
k141_1206	750	2.16923	2.16923	1.34882	0	0
k141_500	11793	8.35753	0	0	8.35753	7.44123
k141_1212	3999	5.90973	0.0774558	0.0714744	5.83227	5.61615
k141_501	850	2.64267	2.64267	1.09511	0	0
k141_503	831	2.44186	2.44186	0.559286	0	0
k141_506	3875	6.02979	0	0	6.02979	3.88288
k141_1213	5995	6.46897	0	0	6.46897	5.47847
k141_508	522	2.26777	2.26777	0.852121	0	0
k141_512	648	1.49088	1.49088	0.392971	0	0
k141_1219	511	1.96107	1.96107	0.383847	0	0
k141_1223	672	1.89161	1.89161	0.461086	0	0
k141_1226	550	1.79111	1.79111	0.357159	0	0
k141_522	881	2.91293	2.91293	1.94883	0	0
k141_1231	553	3.08389	3.08389	0.793831	0	0
k141_527	732	1.03639	1.03639	0.348913	0	0
k141_1233	681	2.16695	2.16695	0.556563	0	0
k141_1235	1424	5.58569	0	0	5.58569	5.89699
k141_1237	1842	5.34205	0	0	5.34205	2.61517
k141_1247	510	1.59756	1.59756	0.241069	0	0
k141_1248	1352	2.32508	2.32508	0.632043	0	0
k141_528	8161	8.65293	0	0	8.65293	8.70943
k141_1251	529	2.80186	2.80186	0.509719	0	0
k141_1253	799	2.44492	2.44492	0.860498	0	0
k141_1256	592	1.85569	1.85569	0.567729	0	0
k141_1258	1778	4.88267	0	0	4.88267	3.18917
k141_1263	6061	6.22325	0.101325	0.0910653	6.12193	4.7056
k141_529	12924	6.31346	0.0235496	0.0229931	6.28991	6.33653
k141_530	663	3.86323	3.86323	7.28552	0	0
k141_1266	4042	5.58217	0.0766109	0.0707539	5.50556	4.09238
k141_1272	781	2.19677	2.19677	1.95534	0	0
k141_1274	568	2.53632	2.53632	0.805962	0	0
k141_1276	677	2.68977	2.68977	0.759501	0	0
k141_1277	598	3.71084	3.71084	1.94037	0	0
k141_1279	4270	7.37997	0.0724221	0.0671942	7.30755	5.51232
k141_532	17770	6.33952	0.0256367	0.0249848	6.31389	5.79555
k141_533	519	5.3135	0	0	5.3135	14.9359
k141_534	7763	8.15076	0	0	8.15076	10.8939
k141_1283	17838	8.02073	0	0	8.02073	8.25762
k141_1284	1716	5.59425	0	0	5.59425	3.12548
k141_536	16340	6.66597	0.130172	0.164307	6.5358	6.1942
k141_1289	11883	6.22303	0.0512603	0.0486344	6.17177	4.43223
k141_1290	534	2.20046	2.20046	0.257643	0	0
k141_540	2131	5.52953	0	0	5.52953	4.92793
k141_1293	677	2.37608	2.37608	0.616999	0	0
k141_541	871	3.35409	3.35409	0.800433	0	0
k141_1294	656	1.92086	1.92086	0.39012	0	0
k141_1296	517	1.76259	1.76259	0.455521	0	0
k141_543	1683	2.56791	2.56791	1.46678	0	0
k141_1299	771	2.25335	2.25335	0.690943	0	0
k141_546	2246	7.69282	0.0703635	0.0654423	7.62246	5.48523
k141_1300	5112	5.82535	0.140662	0.158412	5.68469	4.19211
k141_1303	627	1.33776	1.33776	0.49787	0	0
k141_549	3540	7.12503	0.131686	0.114375	6.99335	9.65605
k141_556	1336	2.45955	2.45955	0.736019	0	0
k141_1305	6313	6.33033	0.0729116	0.0676031	6.25742	7.55857
k141_1306	562	1.81818	1.81818	0.366002	0	0
k141_1308	639	2.05566	2.05566	0.43184	0	0
k141_1310	3592	5.87097	0.172967	0.143087	5.69801	5.402
k141_1311	574	2.01899	2.01899	0.386533	0	0
k141_1312	6479	5.66705	0.118357	0.104381	5.54869	5.13604
k141_1314	534	2.10369	2.10369	0.670515	0	0
k141_1316	685	2.39145	2.39145	0.341365	0	0
k141_557	24062	8.12314	0	0	8.12314	8.68312
k141_558	860	3.90231	0	0	3.90231	1.54256
k141_1317	9188	8.11234	0	0	8.11234	9.14079
k141_559	4658	6.0743	0	0	6.0743	5.46335
k141_1318	4292	5.74109	0	0	5.74109	5.87545
k141_561	786	1.61079	1.61079	0.238074	0	0
k141_1327	712	3.03105	3.03105	0.665154	0	0
k141_1328	682	7.56667	0	0	7.56667	5.2877
k141_562	3737	5.80219	0	0	5.80219	5.61955
k141_565	581	3.73805	3.73805	3.0354	0	0
k141_1329	2243	4.98056	0	0	4.98056	2.69501
k141_566	768	2.03293	2.03293	0.397715	0	0
k141_1332	551	2.53215	2.53215	0.645075	0	0
k141_567	539	2.14351	2.14351	0.369769	0	0
k141_569	640	2.33148	2.33148	1.1645	0	0
k141_1334	833	2.81446	2.81446	0.899954	0	0
k141_570	567	1.40257	1.40257	0.241024	0	0
k141_572	515	1.21446	1.21446	0.376602	0	0
k141_575	6736	5.87166	0	0	5.87166	5.70902
k141_576	763	2.28356	2.28356	0.868112	0	0
k141_581	4934	6.5499	0.0624741	0.0585848	6.48743	5.06179
k141_582	2722	5.53182	0	0	5.53182	4.67426
k141_583	525	2.07765	2.07765	0.765185	0	0
k141_584	820	1.68056	1.68056	0.445798	0	0
k141_585	695	2.2	2.2	0.672058	0	0
k141_586	736	2.38679	2.38679	0.691101	0	0
k141_587	653	2.00362	2.00362	0.499987	0	0
k141_589	981	2.45743	2.45743	1.00983	0	0
k141_591	739	2.1518	2.1518	1.23869	0	0
k141_594	5193	6.53003	0	0	6.53003	5.7541
k141_599	4102	6.15622	0	0	6.15622	5.5645
k141_600	624	2.69084	2.69084	1.21972	0	0
k141_602	550	7.25214	0	0	7.25214	6.53588
k141_606	602	2.76096	2.76096	2.02258	0	0
k141_607	11112	6.04923	0.0548493	0.0518475	5.99438	5.0726
k141_608	8843	7.87695	0	0	7.87695	8.72316
k141_611	1233	6.63076	0	0	6.63076	2.08877
k141_614	9426	6.14266	0	0	6.14266	6.08346
k141_615	612	2.44727	2.44727	0.795645	0	0
k141_616	9543	6.42318	0.0958382	0.0866416	6.32734	6.07491
k141_618	556	1.6886	1.6886	0.37754	0	0
k141_619	555	2.43516	2.43516	1.47101	0	0
k141_624	574	1.64346	1.64346	0.437092	0	0
k141_625	528	1.80374	1.80374	0.940313	0	0
k141_629	3107	5.68298	0	0	5.68298	5.28799
k141_631	511	2.09489	2.09489	0.466583	0	0
k141_635	731	1.98415	1.98415	0.485463	0	0
k141_636	605	1.89505	1.89505	0.538568	0	0
k141_639	6885	5.60168	0.0667649	0.0717504	5.53491	5.01353
k141_1335	94357	8.26723	0	0	8.26723	7.88383
k141_641	3399	8.6536	0	0	8.6536	14.7246
k141_642	616	2.65891	2.65891	1.27372	0	0
k141_1337	1940	3.37717	3.37717	2.67333	0	0
k141_1338	1083	2.20244	2.20244	0.7828	0	0
k141_646	700	2.35	2.35	0.795488	0	0
k141_648	594	2.17814	2.17814	0.284632	0	0
k141_650	513	3.08232	3.08232	1.66797	0	0
k141_652	515	2.60241	2.60241	0.428498	0	0
k141_654	789	3.17997	3.17997	1.92686	0	0
k141_658	7052	5.81919	0.0434407	0.0415604	5.77575	6.18998
k141_1343	10728	6.90452	0.0852465	0.0779842	6.81927	6.05503
k141_660	611	1.97065	1.97065	0.546194	0	0
k141_661	520	1.31905	1.31905	0.656915	0	0
k141_1347	3759	8.1835	0.206341	0.243103	7.97716	6.97546
k141_1348	503	2.71712	2.71712	1.31281	0	0
